base_form	stem_past	stem_present	stem_future
ser	fu	s	ser
estar	estuv	est	estar
hacer	hic	hac	har
tener	tuv	tien	tendr
haber	hub	h	habr
poder	pud	pued	podr
decir	dij	dic	dir
ir	fu	v	ir
ver	v	ve	ver
